STYLE NUMBER,SEASON,season_id,FINAL SUPPLIER PRODUCTION,ON FLOOR MONTH,month_id,season_factor,season_name,season_year,SHIP METHOD US RETAIL,SHIP METHOD US WHOLESALE,SQUAD,FABRIC TYPE,CATEGORY,FINAL FABRIC,MAIN FABRIC COMPOSITION,COO,FOB US,FOB EU,US LANDED,EU LANDED,US RETAIL FOR MKUP,EU RETAIL FOR MKUP,EU RETAIL...19,US RETAIL,US WHOLESALE,US ATS,EU RETAIL...23,EU CONCESSIONS,EU WHOLESALE,EU ATS,UK RETAIL,UK CONCESSIONS,UK WHOLESALE,UK ATS,TOTAL,TOTAL LANDED US,TOTAL LANDED EU,TOTAL LANDED UK,TOTAL RETAIL US,TOTAL RETAIL EU,TOTAL RETAIL UK,TOTAL CUSTO $,TOTAL VERBA $
318010,SS24,1,CASCADE,APRIL,4,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,BOTTOMS,VELLA COTTON,100% COTTON,INDIA,16,15.04,21.6336,20.726144,150,141.66666666666669,NA,191,0,0,21,0,33,0,23,0,0,0,268,4132.0176,1119.211776,476.70131200000003,28650,9180,3910,5913.533307520001,40826.958333333336
317739,SS24,1,CASCADE,APRIL,4,SS24,SS,24,AIR,AIR,CORE TECIDO,TECIDO ESTAMPA,DRESSES,COTTON DOTS,HS22 APPROVED QUALITY,INDIA,39.5,37.129999999999995,50.0807,47.761418,295,279.1666666666667,NA,191,36,0,21,5,11,0,23,0,0,0,287,11368.318899999998,1767.172466,1098.512614,66965,12395,7705,14604.87139077,85882.72916666667
318028,SS24,1,CASCADE,APRIL,4,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,TOPS,COTTON DOTS,100% COTTON,INDIA,12.6,11.969999999999999,18.58116,18.107841999999998,140,133.33333333333334,NA,574,1194,0,63,37,24,19,71,0,0,10,1992,32851.49088,2589.421406,1466.7352019999998,247520,22880,12960,37418.92240687,281151.3333333333
318774,SS24,1,CASCADE,APRIL,4,SS24,SS,24,AIR,AIR,CORE TECIDO,ARTESANAL,DRESSES,LUREX JACQUARD,FOLLOW SAMPLE FABRIC,INDIA,63,59.849999999999994,82.2838,74.53921,415,391.6666666666667,NA,131,10,0,14,0,15,0,16,0,0,0,186,11602.0158,2161.63709,1192.62736,58515,13630,7520,15375.9360023,78345.08333333334
317818,SS24,1,CASCADE,APRIL,4,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,DRESSES,COTTON DOTS,100% COTTON,INDIA,22.5,21.375,29.7485,28.692574999999998,200,187.5,NA,767,624,120,84,37,56,9,94,0,0,0,1791,44949.9835,5336.818949999999,2697.10205,302200,41850,21150,53964.32978775001,361106.875
321021,SS24,1,CASCADE,APRIL,4,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,DRESSES,COTTON DOTS,100% COTTON,INDIA,37,34.78,47.164199999999994,44.991708,315,295.83333333333337,NA,240,18,0,26,0,26,20,30,0,7,10,377,12168.363599999999,3239.402976,2114.6102760000003,81270,25560,16685,18224.92237242,121093.60416666667
317830,SS24,1,CASCADE,APRIL,4,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,DRESSES,COTTON DOTS,100% COTTON,INDIA,25.9,24.604999999999997,34.21494,32.999452999999995,235,220.83333333333334,NA,336,418,80,37,0,4,0,41,0,0,0,916,28535.259959999996,1352.977573,1352.977573,195990,10865,10865,31640.343490035,216769.3125
317832,SS24,1,CASCADE,APRIL,4,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,DRESSES,COTTON DOTS,100% COTTON,INDIA,24,22.56,31.998399999999997,30.589215999999997,235,220.83333333333334,NA,815,1663,0,90,86,56,0,100,0,90,0,2900,79292.03519999998,7096.698112,5811.95104,582330,61480,50350,94005.14220383999,688548.625
317974,SS24,1,CASCADE,APRIL,4,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,TOPS,COTTON DOTS,100% COTTON,INDIA,15.9,15.105,22.66194,20.802753,150,141.66666666666669,NA,288,333,0,32,0,2,10,35,0,0,0,700,14073.064740000002,915.3211319999999,728.096355,93150,7480,5950,15944.376386115002,105893.625
318018,SS24,1,CASCADE,APRIL,4,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,TOPS,VELLA COTTON,100% COTTON,INDIA,16.95,15.932999999999998,23.960369999999998,21.778633799999998,195,183.33333333333334,NA,384,468,200,42,17,20,10,47,0,3,10,1201,25206.309239999995,1938.2984081999998,1306.7180279999998,205140,19580,13200,28881.018121073997,236073.83333333334
317822,SS24,1,CASCADE,APRIL,4,SS24,SS,24,AIR,AIR,ESSENTIAL,TECIDO ESTAMPA,DRESSES,COTTON DOTS,100% COTTON,INDIA,20.5,19.27,27.915300000000002,26.211622000000002,185,175,NA,767,1314,80,84,0,17,6,94,0,60,0,2422,60324.9633,2804.643554,4036.589788,399785,22470,32340,68270.75439308,452834.5
318355,SS24,1,ECICO,APRIL,4,SS24,SS,24,SEA,AIR,CORE TECIDO,ARTESANAL,DRESSES,LINEN VISCOSE,55% LINEN 45% VISCOSE,CHINA,41.5,39.01,48.476,47.691199999999995,325,304.1666666666667,NA,480,380,0,53,85,47,43,59,18,7,10,1182,42829.36,10873.593599999998,4482.9728,279500,83220,34310,58815.746832000004,388729.2916666667
318412,SS24,1,ECICO,APRIL,4,SS24,SS,24,SEA,AIR,CORE TECIDO,ARTESANAL,DRESSES,MONSTERA EYELET,100% COTTON,CHINA,37.5,35.25,44.4625,42.98,285,266.6666666666667,NA,144,14,0,16,8,10,0,18,10,0,0,220,7060.075,1461.3199999999997,1203.44,45030,10880,8960,10062.901399999999,63878
318233,SS24,1,ECICO,APRIL,4,SS24,SS,24,SEA,AIR,CORE TECIDO,ARTESANAL,DRESSES,POLYESTER GUIPUIRE,100% POLYESTER,CHINA,37.5,35.25,47.3125,43.48,345,325,NA,574,60,0,63,17,126,19,71,0,105,11,1046,30176.125,9783,8130.759999999999,218730,87750,72930,50424.115999999995,371423.125
318368,SS24,1,ECICO,APRIL,4,SS24,SS,24,SEA,AIR,CORE TECIDO,ARTESANAL,DRESSES,LIGHT COTTON,100% COTTON,CHINA,45,42.3,53.155,51.376,335,316.6666666666667,NA,671,1508,80,74,75,121,17,83,29,137,13,2808,124841.14499999999,14744.912,13460.511999999999,756765,109060,99560,152343.32804,955644.3333333335
318367,SS24,1,ECICO,APRIL,4,SS24,SS,24,SEA,AIR,CORE TECIDO,ARTESANAL,TOPS,LIGHT COTTON,100% COTTON,CHINA,24.5,23.275,31.1105,29.067999999999998,250,237.5,NA,384,46,0,42,65,55,17,47,18,0,10,684,13469.515,5203.172,2180.1,107500,51015,21375,21615.53154,174808.6875
318236,SS24,1,ECICO,APRIL,4,SS24,SS,24,SEA,AIR,CORE TECIDO,ARTESANAL,DRESSES,POLYESTER GUIPUIRE,100% POLYESTER,CHINA,58,55.099999999999994,72.63,65.71199999999999,360,337.5,NA,240,440,0,26,17,13,0,30,0,8,0,774,50708.399999999994,3679.8719999999994,2497.0559999999996,244800,22680,15390,56384.75664,280733.625
318943,SS24,1,ECICO,APRIL,4,SS24,SS,24,SEA,AIR,CORE TECIDO,ARTESANAL,DRESSES,LIGHT COTTON,100% COTTON,CHINA,45.5,42.769999999999996,53.734500000000004,51.90239999999999,310,291.6666666666667,NA,288,1313,0,32,19,37,0,35,0,0,0,1724,89967.93450000002,4567.4112,1816.5839999999998,496310,30800,12250,93141.379884,536278.5416666666
